ClauseLikeUnit(CLU)-value,Region,D/H,Age,Gender,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,HS,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,RH-IDgloss-value,LH-IDgloss-value,Comments-value,regularity
BL04M74WHC_CLU#058,Bristol,hearing,74,M,Non-negated clause,DependEmbed,"pre-container, contained",independent,well nobody wanted (to) pay (the) Woolworths,"Because of the credit crunch, no one wants to buy things from them.",3350,NA,Single,Present,pre-predicate,"NHS, HS, NHS, NHS",Present,NA,NA,"nobody, want, pay, the, Woolworths",Single,"G:WELL, NOTHING, WANT, PAY, PT:DET, SN:WOOLWORTHS","G:WELL, NOTHING, PAY, SN:WOOLWORTHS",JF: not sure if this is directional,Regular
BL04M74WHC_CLU#065,Bristol,hearing,74,M,Negated clause,Single,NA,NA,well they (don't want) buy,"No one wanted to buy Woolworths, so they had to close down.",1190,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,"don't want, buy",Single,"G:WELL, PT:PRO1SG, BUY","G:WELL, BUY",NA,Regular
BL04M74WHC_CLU#073,Bristol,hearing,74,M,Negated clause,Single,NA,NA,(they can't) afford (it),They can't afford it,819,Neg/response,Absent,Present,None,HS,Present,NA,NA,can't afford,Single,AFFORD,NA,NA,Regular
BL04M74WHC_CLU#074,Bristol,hearing,74,M,Negated clause,Depend?,NA,dependent,because (they can't) go (to work),They have to move out as they can't keep up with their payments as they are both out of work. ,1483,Neg/response,Absent,Present,None,HS,Present,NA,NA,"well?, bec(ause), can't, got",Single,"G:WELL, THROUGH, PT:PRO3SG, GO02",G:WELL,MattB: discourse level coordinator - or illative (so/because),Regular
BL04M74WHC_CLU#075,Bristol,hearing,74,M,Negated clause,Depend?,NA,independent,means (they) won't pay (their mortgage),They have to move out as they can't keep up with their payments as they are both out of work. ,1619,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"won't, pay mortgage",Single,"MEANING, WILL-NOT, PAY","MEANING, WILL-NOT, PAY",NA,Irregular
BL04M74WHC_CLU#077,Bristol,hearing,74,M,Negated clause,Single,NA,NA,well (have no) money (they don't have any money),"They can't afford their homes, so they've had to give it up and live with their parents. ",1424,Neg/declarative,Absent,Present,None,HS,Present,CA:YOUNG-PEOPLE,NA,no money,Single,"G:WELL, MONEY02","G:WELL, MONEY02","GH: CAform mouth here is English? ""have no money""? SG: i was looking at the mouth production earlier in the annotation - when he slightly grits his teeth to show 'no money'?",Regular
BL04M74WHC_CLU#128,Bristol,hearing,74,M,INDEFINITE,Embed,contained,NA,"no (jobs/work)/(boss) ""no-ed""",I agreed and we went but disappointedly the boss said no and that I had to wait six months.,702,Neg/response,Single,Present,other,HS,Present,CD:BOSS,NA,no,Single,NO,NO,AS:I agree it's indefinite.,Regular
BL04M74WHC_CLU#133,Bristol,hearing,74,M,Negated clause,Single,NA,NA,"I (had no) money, well",I had to wait and I was patient as I had no money then until they got back to me. ,615,Neg/declarative,Absent,Present,None,NHS?,Absent,NA,NA,no money,Single,"PT:PRO1SG, MONEY02, G:WELL",G:WELL,GH: Example of negation manually signalled with G:WELL - depicts absence? MattB: or is it a causal coordinator: I had to wait patiently as/for I had no money,Regular
BL04M74WHC_CLU#139,Bristol,hearing,74,M,Negated clause,Single,NA,NA,(then) boss he (don't) want me,I took a temporary job in building for around four weeks until the boss said he did not want me any longer.,1434,Neg/declarative,Absent,Present,other,"HS, NHS",Present,NA,NA,"boss, don't want, me",Single,"BOSS, PT:DET, WANT, PT:PRO1SG",NA,"MB: Agree with non-manual aspect, and HS present (although very slight)",Regular
BL04M74WHC_CLU#150,Bristol,hearing,74,M,Negated clause,Single?,NA,NA,(me) not-like me (for) seven years,"For seven years, I didn't enjoy the job as it was too far to travel so I moved to Avonmouth where I once again saw a deaf person. ",1434,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,"don't like, for, seven",Single,"LIKE, PT:PRO3SG, SEVEN, YEAR","SEVEN, YEAR",NA,Regular
BL04M74WHC_CLU#151,Bristol,hearing,74,M,INDEFINITE,Single?,NA,NA,well (there was no) money (nothing)/no money,"For seven years, I didn't enjoy the job as it was too far to travel so I moved to Avonmouth where I once again saw a deaf person. ",556,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,NA,Absent,"G:WELL, MONEY02",G:WELL,AS: I'm unsure of the clause boundaries here. It looks like 'I didn't like it. I didn't have any money for 7 years.',Regular
BL04M74WHC_CLU#178,Bristol,hearing,74,M,Negated clause,Embed,contained,NA,"(but no) me (not) work very-long me, only four (or) five (months)","I explained that I had not worked for very long, only four or five months.",2712,Neg/declarative,Absent,Present,None,HS,Present,CD:SIGNER,NA,"not/don't?, work, very long, only, four, fi(ve) mo(nths)",Single,"PT:PRO1SG, WORK, LONG, PT:, PT:PRO1SG, FOUR02, FIVE","WORK, LONG",GH: TJ agree negation,Regular
BL04M74WHC_CLU#179,Bristol,hearing,74,M,Negated clause,Single,NA,NA,"(oh it doesn't matter) anything (they said)/""better"" (than being too late)","Oh it doesn't matter, they said",1258,Neg/response,Single,Present,other,HS,Present,CD:COUNCIL,NA,don't matter,Single,ANYTHING,ANYTHING,GH: another example of negation with a G:WELL/PU-like gesture. TJ checked and asks if sign is negative.,Regular
BL04M74WHC_CLU#184,Bristol,hearing,74,M,Negated clause,Single,NA,NA,me (not) long work/working,I asked my friends what they thought especially I had not worked long.,1212,Neg/declarative,Absent,Present,None,"NHS, HS",Present,CD:SIGNER,NA,"long, work",Absent,"PT:PRO1SG, LONG, WORK","LONG, WORK",NA,Regular
BL07F35WDC_CLU#005,Bristol,deaf,35,F,Negated clause,Single,NA,NA,(so me not) go-with-them well... (no),"I didn't go with them very much and members started to dwindle, which is a bit of a shame. ",2240,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,"with with with, well",Absent,"G:WELL, PT:PRO1SG, WITH, G:WELL",NA,MB: Agree with non-manual aspect. TJ checked and uncertain if negated clause.,Regular
BL07F35WDC_CLU#026,Bristol,deaf,35,F,Negated clause,Single,NA,NA,before deaf travel-around (no) not-much, Deaf people tend to travel more compared to the past when they didn't travel much... ,2750,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,NA,"before, deaf, club, not much",Single,"PAST, DEAF, GO-TO, FEW02",NA,"GH: internal question-response frame, HP: Agreed with SS that CLUB should be added between DEAF and GO-TO. HP update Jan 2019:I think this was based on the singer mouthing 'club'. But I'm not sure this is correct now looking at the utterance in context, SG: it seems that she has based this sign on the specific geograhical areas of both those places (up for Derby and west for Cardiff) so have marked as IS. What do you think GH? GH: not sure about this one, if she's imagining specific places or just means ""travelling around"" in general. Let's keep as uncertain for now., MB: Agree with non-manual aspect.  Sign means 'few' but that is not negation in itself.  HS and mouthing marks negation.  Changed Lit Trans to show negation clearer. HP: The RH-GramCls was already tagged as Adj. But I think it is Adv, describing the travelling-around? For now, I have left RH-GramCls as Adj but not tagged as NP on Phrase tier",Regular
BL07F35WDC_CLU#031,Bristol,deaf,35,F,Non-negated clause,Depend,NA,dependent,but (there are not) enough teams there-there,"Yes but there's not enough players, aren't you involved? ",2190,NA,Absent,Present,None,"NHS, HS, NHS",Present,NA,NA,"but, not enough, team-regr, team",Single,"BUT, PLENTY, UNIT, PT:DETPL",UNIT,NA,Regular
BL07F35WDC_CLU#035,Bristol,deaf,35,F,Negated clause,DependDepend?,NA,dependent+independent,"because (if) you don't-bother pay-them today,",But if he doesn't pay today then his place will be offered to someone else... ,2080,Neg/declarative,Single,Present,pre-predicate,"NHS, HS1, NHS",Present,NA,NA,"why, he, bother, pay, today",Absent,"WHY, PT:PRO3SG, G:DISMISS/SHOULDN'T, PAY, NOW","G:DISMISS/SHOULDN'T, PAY, NOW",GH: I don't see constructed action or dialogue - she is not depicting a character's actions or quoting someone's speech/sign utterance,Irregular
BL07F35WDC_CLU#037,Bristol,deaf,35,F,Negated clause,Single,NA,NA,he (didn't pay before today),He's taking the risk and will pay today...  ,838,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,NA,Absent,PT:PRO3SG,FBUOY,GH: TJ checked and notes this is PT+HS construction,Regular
BL07F35WDC_CLU#079,Bristol,deaf,35,F,Negated clause,Single,NA,NA,(it isn't very) far-from my house,"It's at Kingswood, not far from my home which is fantastic! ",1945,Neg/declarative,Absent,Present,None,"HS, NHS",Present,NA,NA,"not very far, my, house",Single,"NEAR, PT:POSS1SG(1), HOUSE","NEAR, HOUSE",NA,Regular
BL07F35WDC_CLU#085,Bristol,deaf,35,F,Negated clause,Single,NA,NA,(me not) used-to-it little-bit-scattered,I wasn't used to it but took time to readjust.,1250,Neg/declarative,Absent,Present,None,HS,Present,CA:SIGNER,CA:TH,n(ot) used (to it),Single,"PREFER, PANIC",PANIC,"GH: again, not sure about domhand and subhand included as CAform - see previous comment. SG: Agree - I have removed.",Regular
BL07F35WDC_CLU#095,Bristol,deaf,35,F,Negated clause,Single,NA,NA,can't have (a) perfect child,You can't expect your children to be perfect.,3530,Neg/declarative,Single,Absent,pre-predicate,NHS,Absent,NA,NA,"can't, have, perfect, perfect-prog, child, child-prog",Single,"CAN-NOT, HAVE, PERFECT, CHILD(FALSE-START), CHILD, G:WELL","HAVE, PERFECT","SG: feel there could be an element of character here? signer adjusts signing behaviour on reflection of the lexical concept? GH: I think it's just attitudinal, but still in current signer perspective, i.e. her expression is releting to the meaning of 'perfect' not what someone looks like? KC:agree, attitudinal",Irregular
BL07F35WDC_CLU#121,Bristol,deaf,35,F,Negated clause,Single,NA,NA,"(you) never know, you (never) know",But you'd never know what's round the corner.,1110,Neg/declarative,Single,Present,pre-predicate,"NHS, HS?",Present,NA,NA,"you nev(er), nev(er), you, never know",Multiple,"NEVER, KNOW, PT:PRO2SG, KNOW",NA,NA,Regular
BL07F35WDC_CLU#125,Bristol,deaf,35,F,Negated clause,Single,NA,NA,(no) not now (no),"No, not in these days.",730,Neg/response,Single,Present,other,HS,Present,NA,NA,"not, now",Single,"NOT, NOW","NOT, NOW",NA,Regular
BL07F35WDC_CLU#131,Bristol,deaf,35,F,Negated clause,Single,NA,NA,(it) all won't feel (the) same,"It wouldn't be the same, it's better to complete it.",1425,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"won't-regr, won't, feel, the same",Single,"ALL, WILL-NOT, FEEL, SAME",SAME,NA,Irregular
BL07F35WDC_CLU#134,Bristol,deaf,35,F,Negated clause,Single,NA,NA,"you going-out tonight drinking, no?/you going-out tonight drinking, (or) you not?","Aren't you going out tonight drinking, no?",2010,Neg/interrogative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",Present,NA,PRESSED-LIPS,"(y)ou, going, out tonight",Absent,"PT:PRO2SG, GO, NIGHT, ALCOHOLIC, PT:PRO2SG, NOTHING",NIGHT,"TJ: Mouth gesture is editorial, ""Hmm, I know your ways..."" MG SEEMS A BIT INTERPERSONAL ""HMMM?"" LIKE SHE KNOWS HE DOES A LOT AND IS LETTING HIM KNOW",Regular
BL07F35WDC_CLU#141,Bristol,deaf,35,F,Negated clause,Single,NA,NA,no way! (me won't support BC),No way!,360,Neg/response,Single,Present,other,HS1,Present,NA,NA,no way,Single,REFUSE,NA,NA,Regular
BL08M26WDC_CLU#008,Bristol,deaf,26,M,Negated clause,DependEmbed?,contained,independent,erm many people all-around-there not-bothered (about) age,Yes I think I remember there were many people mixing together regardless of their age when I was younger.,2360,Neg/declarative,Single,Present,other,"NHS, HS",Present,NA,NA,"lot, people, people-prog, didn't matter, age",Single,"G:ERM, MANY, PEOPLE, ALL, PROBLEM-NOT, AGE","MANY, ALL, PROBLEM-NOT",MattB: not AREA or AREAb?,?
BL08M26WDC_CLU#016,Bristol,deaf,26,M,Negated clause,Single,NA,NA,don't-know me,"I don't know, maybe we should create something special for all? ",450,Neg/declarative,Single,Absent,other,NHS,Absent,NA,NA,"don(t k)now, don(t k)now-prog",Multiple,"KNOW-NOT, PT:PRO1SG",NA,NA,Irregular
BL08M26WDC_CLU#022,Bristol,deaf,26,M,Negated clause,Single,NA,NA,(me) don't know me,"But we should try and aim for something here, well I don't know really...",870,Neg/declarative,Single,Present,other,HS,Present,NA,NA,don't know,Single,"KNOW-NOT, PT:PRO1SG, G:WELL","KNOW-NOT, G:WELL",NA,Irregular
BL08M26WDC_CLU#031,Bristol,deaf,26,M,Negated clause,Single,NA,NA,"me (do) nothing (no training, practice, nothing)","I've not done anything, none of us have done anything yet!",801,Neg/declarative,Single,Present,other,HS,Present,NA,NA,nothing,Single,"PT:PRO1SG, NOTHING",NOTHING,NA,Regular
BL08M26WDC_CLU#032,Bristol,deaf,26,M,Negated clause,Single,NA,NA,all-of-us (do) nothing,"I've not done anything, none of us have done anything yet!",790,Neg/declarative,Single,Present,other,HS?,Present,NA,NA,no?,Single,"ALL, NOTHING",NOTHING,SG: both visible and invisible surrogates here? GH: I don't see it,Regular
BL08M26WDC_CLU#035,Bristol,deaf,26,M,Negated clause,Single,NA,NA,(there's) nothing-doing from-then-on,There's nothing else planned till then!,711,Neg/declarative,Single,Present,other,HS,Present,NA,NA,nothing,Single,"NOTHING, FROM-THEN-ON",NOTHING,NA,Regular
BL08M26WDC_CLU#045,Bristol,deaf,26,M,Negated clause,Single,NA,NA,(they at) difficult age or (not)?/(they are) difficult teenagers or (not)?,Aren't they difficult teenagers?,1900,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",Present,NA,NA,"(diffi)cult, age, or",Absent,"HARD, AGE, APPROXIMATE",HARD,NA,Regular
BL08M26WDC_CLU#049,Bristol,deaf,26,M,Negated clause,Single,NA,NA,(me) don't-know maybe (will go),"...but that's all, I don't know, maybe...",1110,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"don't know, maybe",Single,"KNOW-NOT, PERHAPS","KNOW-NOT, PERHAPS",NA,Irregular
BL08M26WDC_CLU#055,Bristol,deaf,26,M,Negated clause,Embed,contained,NA,"we-all me (haven't) played football (for) one, two, three, four years",I think that we haven't been playing football for the last four years!,3630,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,NA,"all, haven't, football?, for, one, two, three, three-prog, four, years",Single,"ALL, PT:PRO1SG, PLAY, KICK, G:WELL, ONE, TWO, THREE02, FOUR02, YEAR, SINCE","PLAY, KICK, G:WELL, FBUOY, YEAR, SINCE",MB: Agree with non-manual aspect.,Regular
BL08M26WDC_CLU#086,Bristol,deaf,26,M,Negated clause,Single,NA,NA,they guaranteed future/progress? no, S/he realised that it was the wrong time to look for a job as nothing is actually guaranteed.,1720,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),NHS,Absent,NA,PRESSED-LIPS,"guarantee, guarantee-prog",Absent,"PT:PRO3SG, GUARANTEE, FUTURE, NOTHING, G:WELL","GUARANTEE, FUTURE, NOTHING","TJ: MouthGestF I see LIPS-OUT category (subtle brief pout), or LIPS-PRESSED category. MouthGestM is emphasis or negation? GH: Negation is internal response frame?",Regular
BL08M26WDC_CLU#090,Bristol,deaf,26,M,INDEFINITE,Single,NA,NA,nothing guaranteed now/(there are) no guarantees now,Nothing is guaranteed nowadays...,1240,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"nothing, guarantee, now",Single,"NOTHING, GUARANTEE, NOW","NOTHING, GUARANTEE, NOW",AS: I agree this is indefinite. Is it a positive declarative?,Regular
BL08M26WDC_CLU#098,Bristol,deaf,26,M,Negated clause,Single?,NA,NA,(they) finish building? (no) they (did not),"They are around halfway, with another six to eight months before they finish the works. ",1190,Neg/response,Absent,Present,None,"NHS, HS",Present,NA,NA,"finish, finish-prog",Absent,"FINISH, MAKE, PT:PRO3SG","FINISH, MAKE","GH: TJ checked and sees this as overlapping syntax: 1 the interpretation annotated AND 2 with the HS part of next CLU (""no they completely stopped""). Internal response frame?",Regular
BL08M26WDC_CLU#101,Bristol,deaf,26,M,Non-negated clause,Depend,NA,dependent,because (there is no) money,They've all stopped completely and have left as there is no money left.  ,1000,NA,Absent,Present,None,HS,Present,NA,NA,"because, no money",Single,"WHY, MONEY, G:WELL","MONEY, G:WELL",MB: Agree with non-manual aspect.,Regular
BL08M26WDC_CLU#103,Bristol,deaf,26,M,Negated clause,Embed,contained,NA,(they) can't make money,They know that they cannot recoup the money so they've left it for now. ,1260,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"can't, make, money",Single,"CAN-NOT, MAKE, MONEY, PT:PRO3SG","MAKE, MONEY",NA,Irregular
BL08M26WDC_CLU#110,Bristol,deaf,26,M,Negated clause,Depend,NA,dependent,if nothing (no money),"If not, they'd have to leave it as it is. ",670,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"if, (no)th(ing)",Single,"IF, NOTHING","IF, NOTHING","TJ: I THINK IT A REDUCED MOUTHING, NOT A MG. ",Regular
BL08M26WDC_CLU#111,Bristol,deaf,26,M,Negated clause,Depend,NA,independent,(they) can't finish-off,"If not, they'd have to leave it as it is. ",1430,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,well,Absent,"CAN-NOT, G:WELL, GO","G:WELL, GO",NA,Irregular
BL08M26WDC_CLU#114,Bristol,deaf,26,M,Negated clause,Single,NA,NA,(they) should finish (by now but they are not) ,They should be finished by now but they are not. ,925,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,should finish,Absent,"FINISH , G:WELL",FINISH ,MB: Agree with non-manual aspect.,Regular
BL08M26WDC_CLU#116,Bristol,deaf,26,M,Negated clause,Embed,contained,NA,(they) can't make money,They know that they cannot make any profit from the buildings so they've just literally dropped it all.,1070,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"can't, make, money",Single,"CAN-NOT, MAKE, MONEY, G:WELL","MAKE, G:WELL",NA,Irregular
BL08M26WDC_CLU#119,Bristol,deaf,26,M,Negated clause,Single,NA,NA,nothing (doing) tonight umm... (I'm not doing anything tonight),Nothing has been planned for tonight...,2300,Neg/response,Single,Present,other,HS,Present,NA,NA,"nothing, tonight",Single,"NOTHING, NIGHT, G:WELL, G:ERM",NIGHT,NA,Regular
BL09F45WHC_CLU#009,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(operation) for that-there there-shoulder arm-movement not-comfortable,The operation is for my shoulder because moving my arm is not comfortable in my shoulder.,1686,Neg/response,Absent,Present,None,"NHS, HS",Present,CA:SIGNER,PRESSED-LIPS,comfortable,Absent,"SHOULDER, G:CA:SHOULDER, COMFORTABLE ",NA,"MB: Agree with non-manual aspect., TJ: WRINKLE NOSE again, this negated clause is interpersonal",Regular
BL09F45WHC_CLU#012,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(it's not) inflamed (no)/(it's not) inflammation (no),It's not an inflammation but there has been a swelling.,712,Neg/response,Absent,Present,None,HS,Present,NA,NA,inflame,Absent,FS:I-INFLAMMATION,FS:I-INFLAMMATION,MB: Agree with non-manual aspect. HP: FS:I-INFLAMMATION may be either an adj (inflamed) or a noun (inflammation). So tagging as unsure,Regular
BL09F45WHC_CLU#035,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(me) don't-know!,I don't really know...,1999,Neg/response,Single,Present,other,"NHS, HS",Present,NA,PRESSED-LIPS,NA,Absent,"INDECIPHERABLE(FALSE-START), KNOW-NOT","INDECIPHERABLE(FALSE-START), KNOW-NOT",NA,Irregular
BL09F45WHC_CLU#042,Bristol,hearing,45,F,Negated clause,Single,NA,NA,two weeks (duration me) not allowed drive-car,"No, I will not be allowed to drive for two weeks.",3082,Neg/response,Single,Present,pre-predicate,"NHS, HS1, NHS",Present,NA,NA,"two weeks, not, allow, drive",Single,"PT:, WEEK-TWO, NO, ALLOW, VEHICLE","NO, ALLOW, VEHICLE",NA,Regular
BL09F45WHC_CLU#051,Bristol,hearing,45,F,Negated clause,Single,NA,NA,not physically-turn-child's-head-around no,I explain them how they can communicate with their child and how to get their attention appropriately.,1190,Neg/response,Multiple,Present,reprise (clause-final),"HS, HS1, HS",Present,CA:PARENT,NA,"not, no",Multiple,"NO, G:CA:TURN-PERSON'S-CHIN, NO","FBUOY, NO",SG: not completely convinced that this is character perspective? feels like she is narrating this rather than being in character mode? GH: Agree. I think there is some CA:PARENT but not CD:SIGNER. Have removed.,Regular
BL09F45WHC_CLU#052,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(not) tap-child-on-head no,I explain them how they can communicate with their child and how to get their attention appropriately.,868,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",Present,CA:PARENT?,NA,no,Single,"TOUCH, NO","FBUOY, NO",SG: not completely convinced that this is character perspective? feels like she is narrating this rather than being in character mode? GH: Agree. I think there is some CA:PARENT but not CD:SIGNER. Have removed.,Regular
BL09F45WHC_CLU#077,Bristol,hearing,45,F,Negated clause,Single,NA,NA,your brother (was not) oral-deaf (was) he (at all)?,"Your brother wasn't an oral person, was he?",2288,Neg/response,Absent,Present,None,"NHS, HS",Present,NA,PRESSED-LIPS,brother,Absent,"BROTHER, ORAL, PT:PRO3SG","PT:, PT:POSS1SG, BROTHER, FBUOY",NA,Regular
BL09F45WHC_CLU#084,Bristol,hearing,45,F,Negated clause,SharedCecho,NA,NA,(oh me) don't-know me,"Oh, I don't know...",1017,Neg/response,Single,Present,other,HS,Present,NA,NA,"don't, know",Single,NA,"KNOW-NOT, PT:PRO1SG",NA,Irregular
BL09F45WHC_CLU#108,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(me) can't remember why,I can't really remember why.,644,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,can't,Single,NA,"CAN-NOT, REMEMBER04, WHY",NA,Irregular
BL09F45WHC_CLU#109,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(me) don't-know why,I can't really remember why.,868,Neg/declarative,Single,Present,other,HS,Present,NA,NA,don't know,Single,"KNOW-NOT, WHY",KNOW-NOT,NA,Irregular
BL09F45WHC_CLU#118,Bristol,hearing,45,F,Negated clause,Depend,NA,independent,(me) not-have TA,Except for Maths and Science as I did not have any Teaching Assistants then.,2077,Neg/declarative,Single,Present,other,"HS1, NHS",Present,NA,SYLL:POOH,TA (teacher assistant),Absent,"NOT-HAVE, FS:TA","LBUOY-TWO02, FS:TA",NA,Irregular
BL09F45WHC_CLU#120,Bristol,hearing,45,F,Negated clause,Single,NA,NA,well (we) not-have interpreters,We didn't even have any interpreters!,1161,Neg/response,Single,Present,other,"HS, NHS",Present,NA,SYLL:POOH,interpreter,Absent,"G:WELL, NOT-HAVE, INTERPRETER, WRITE, G:WELL","G:WELL, INTERPRETER, G:WELL",NA,Irregular
